Player,Country,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
SA Abbott,Australia,2023-2023,1,1,60,-,61,2,2/61,30.50,6.10,30.0,-,-,1,-
Abdullah Shafique,Pakistan,2023-2023,8,-,0,-,-,-,-,-,-,-,-,-,2,-
CN Ackermann,Netherlands,2023-2023,9,9,284,2,234,5,2/39,46.80,4.94,56.8,-,-,3,-
Agha Salman,Pakistan,2023-2023,3,2,30,-,46,-,-,-,9.20,-,-,-,3,-
MM Ali,England,2023-2023,6,6,256,-,248,5,3/42,49.60,5.81,51.2,-,-,4,-
KIC Asalanka,Sri Lanka,2023-2023,9,1,6,-,10,-,-,-,10.00,-,-,-,4,-
R Ashwin,India,2023-2023,1,1,60,1,34,1,1/34,34.00,3.40,60.0,-,-,-,-
AAP Atkinson,England,2023-2023,3,3,144,-,146,4,2/45,36.50,6.08,36.0,-,-,-,-
Azmatullah Omarzai,Afghanistan,2023-2023,9,9,228,1,270,7,2/52,38.57,7.10,32.5,-,-,1,-
Babar Azam,Pakistan,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,4,-
JM Bairstow,England,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,5,-
W Barresi,Netherlands,2023-2023,4,-,0,-,-,-,-,-,-,-,-,-,1,-
T Bavuma,South Africa,2023-2023,8,-,0,-,-,-,-,-,-,-,-,-,3,-
TA Boult,New Zealand,2023-2023,10,10,546,6,504,14,3/37,36.00,5.53,39.0,-,-,4,-
HC Brook,England,2023-2023,6,-,0,-,-,-,-,-,-,-,-,-,-,-
JJ Bumrah,India,2023-2023,11,11,551,9,373,20,4/39,18.65,4.06,27.5,-,-,1,-
JC Buttler,England,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,9,2
AT Carey,Australia,2023-2023,1,-,0,-,-,-,-,-,-,-,-,-,-,-
PVD Chameera,Sri Lanka,2023-2023,4,4,188,3,196,2,1/20,98.00,6.25,94.0,-,-,-,-
MS Chapman,New Zealand,2023-2023,8,-,0,-,-,-,-,-,-,-,-,-,1,-
G Coetzee,South Africa,2023-2023,8,8,381,1,396,20,4/44,19.80,6.23,19.0,-,-,3,-
DP Conway,New Zealand,2023-2023,10,-,0,-,-,-,-,-,-,-,-,-,6,-
PJ Cummins,Australia,2023-2023,11,11,537,1,515,15,3/51,34.33,5.75,35.8,-,-,4,-
SM Curran,England,2023-2023,3,3,104,2,140,2,1/47,70.00,8.07,52.0,-,-,1,-
Q de Kock,South Africa,2023-2023,10,-,0,-,-,-,-,-,-,-,-,-,19,1
BFW de Leede,Netherlands,2023-2023,9,8,402,-,487,16,4/62,30.43,7.26,25.1,-,-,5,-
DM de Silva,Sri Lanka,2023-2023,8,8,150,-,174,-,-,-,6.96,-,-,-,4,-
A Dutt,Netherlands,2023-2023,9,9,465,6,426,10,3/44,42.60,5.49,46.5,-,-,5,-
