Player,Country,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
Sean Abbott,Australia,2023-2023,1,-,0,-,-,-,0.00,-,-,-
Abdullah Shafique,Pakistan,2023-2023,8,8,0,336,113,42.00,93.33,1,3,1
Colin Ackermann,Netherlands,2023-2023,9,9,0,216,69,24.00,82.12,-,1,1
Agha Salman,Pakistan,2023-2023,3,1,0,51,51,51.00,113.33,-,1,-
Moeen Ali,England,2023-2023,6,6,0,95,42,15.83,74.80,-,-,-
Charith Asalanka,Sri Lanka,2023-2023,9,8,0,288,108,36.00,85.20,1,1,-
Ravichandran Ashwin,India,2023-2023,1,-,0,-,-,-,0.00,-,-,-
Gus Atkinson,England,2023-2023,3,3,1,37,35,18.50,160.86,-,-,1
Azmatullah Omarzai,Afghanistan,2023-2023,9,8,3,353,97*,70.60,97.78,-,3,-
Babar Azam,Pakistan,2023-2023,9,9,1,320,74,40.00,82.90,-,4,-
Jonny Bairstow,England,2023-2023,9,9,0,215,59,23.88,88.47,-,2,1
Wesley Barresi,Netherlands,2023-2023,4,4,0,83,41,20.75,74.10,-,-,-
Temba Bavuma,South Africa,2023-2023,8,8,0,145,35,18.12,73.60,-,-,1
Trent Boult,New Zealand,2023-2023,10,4,3,21,10*,21.00,84.00,-,-,-
Harry Brook,England,2023-2023,6,6,0,169,66,28.16,112.66,-,1,-
Jasprit Bumrah,India,2023-2023,11,3,1,18,16,9.00,62.06,-,-,-
Jos Buttler,England,2023-2023,9,9,0,138,43,15.33,97.18,-,-,-
Alex Carey,Australia,2023-2023,1,1,0,-,0,0.00,0.00,-,-,1
Dushmantha Chameera,Sri Lanka,2023-2023,4,4,0,6,4,1.50,15.38,-,-,1
Mark Chapman,New Zealand,2023-2023,8,6,1,84,39,16.80,118.30,-,-,-
Gerald Coetzee,South Africa,2023-2023,8,4,0,54,22,13.50,69.23,-,-,-
Devon Conway,New Zealand,2023-2023,10,10,1,372,152*,41.33,101.63,1,-,1
Pat Cummins,Australia,2023-2023,11,8,4,128,37,32.00,68.81,-,-,-
Sam Curran,England,2023-2023,3,3,0,35,14,11.66,61.40,-,-,-
Quinton de Kock,South Africa,2023-2023,10,10,0,594,174,59.40,107.02,4,-,-
Bas de Leede,Netherlands,2023-2023,9,9,0,139,67,15.44,69.84,-,1,-
Dhananjaya de Silva,Sri Lanka,2023-2023,8,7,0,140,34,20.00,76.08,-,-,-
Aryan Dutt,Netherlands,2023-2023,9,9,3,70,23*,11.66,80.45,-,-,-
Scott Edwards,Netherlands,2023-2023,9,9,2,259,78*,37.00,86.91,-,2,2
Sybrand Engelbrecht,Netherlands,2023-2023,8,8,0,300,70,37.50,66.66,-,2,-
Fakhar Zaman,Pakistan,2023-2023,4,4,1,220,126*,73.33,122.90,1,1,-
Fazalhaq Farooqi,Afghanistan,2023-2023,6,3,2,2,2*,2.00,22.22,-,-,1
Lockie Ferguson,New Zealand,2023-2023,7,3,1,7,6,3.50,77.77,-,-,-
Cameron Green,Australia,2023-2023,3,3,0,63,47,21.00,75.90,-,-,-
Haris Rauf,Pakistan,2023-2023,9,5,2,53,35,17.66,117.77,-,-,-
Hasan Ali,Pakistan,2023-2023,6,3,0,20,12,6.66,71.42,-,-,1
Hasan Mahmud,Bangladesh,2023-2023,2,1,0,15,15,15.00,60.00,-,-,-
Hashmatullah Shahidi,Afghanistan,2023-2023,9,9,3,310,80,51.66,73.11,-,3,-
Josh Hazlewood,Australia,2023-2023,11,5,3,4,2,2.00,80.00,-,-,1
Travis Head,Australia,2023-2023,6,6,0,329,137,54.83,127.51,2,1,1
Dushan Hemantha,Sri Lanka,2023-2023,2,2,1,4,4*,4.00,100.00,-,-,1
Reeza Hendricks,South Africa,2023-2023,2,2,0,97,85,48.50,103.19,-,1,-
Matt Henry,New Zealand,2023-2023,7,4,2,19,10*,9.50,86.36,-,-,1
Ibrahim Zadran,Afghanistan,2023-2023,9,9,1,376,129*,47.00,76.26,1,1,-
Iftikhar Ahmed,Pakistan,2023-2023,9,8,2,142,40,23.66,115.44,-,-,-
Ikram Alikhil,Afghanistan,2023-2023,7,3,1,89,58,44.50,88.11,-,1,-
Imam-ul-Haq,Pakistan,2023-2023,6,6,0,162,70,27.00,90.00,-,1,-
Josh Inglis,Australia,2023-2023,10,8,0,159,58,19.87,94.64,-,1,1
Ishan Kishan,India,2023-2023,2,2,0,47,47,23.50,97.91,-,-,1
Shreyas Iyer,India,2023-2023,11,11,3,530,128*,66.25,113.24,2,3,1
Ravindra Jadeja,India,2023-2023,11,5,2,120,39*,40.00,101.69,-,-,-
Marco Jansen,South Africa,2023-2023,9,8,3,157,75*,31.40,110.56,-,1,1
Chamika Karunaratne,Sri Lanka,2023-2023,3,2,0,8,6,4.00,28.57,-,-,-
