innings,Batsman,Runs,Balls,Minutes,fours,sixes,SR,out,id
India,Rohit Sharma,47,31,44,4,3,151.61,c Head b Maxwell,4705
India,Shubman Gill,4,7,21,0,0,57.14,c Zampa b Starc,4705
India,Virat Kohli,54,63,99,4,0,85.71, b Cummins,4705
India,Shreyas Iyer,4,3,3,1,0,133.33,c †Inglis b Cummins,4705
India,KL Rahul,66,107,133,1,0,61.68,c †Inglis b Starc,4705
India,Ravindra Jadeja,9,22,33,0,0,40.90,c †Inglis b Hazlewood,4705
India,Suryakumar Yadav,18,28,57,1,0,64.28,c †Inglis b Hazlewood,4705
India,Mohammed Shami,6,10,9,1,0,60.00,c †Inglis b Starc,4705
India,Jasprit Bumrah,1,3,5,0,0,33.33,lbw b Zampa,4705
India,Kuldeep Yadav,10,18,28,0,0,55.55,run out (Labuschagne/Cummins),4705
India,Mohammed Siraj,9,8,13,1,0,112.50,null,4705
Australia,David Warner,7,3,6,1,0,233.33,c Kohli b Mohammed Shami,4705
Australia,Travis Head,137,120,166,15,4,114.16,c Shubman Gill b Mohammed Siraj,4705
Australia,Mitchell Marsh,15,15,15,1,1,100.00,c †Rahul b Bumrah,4705
Australia,Steven Smith,4,9,11,1,0,44.44,lbw b Bumrah,4705
Australia,Marnus Labuschagne,58,110,133,4,0,52.72,null,4705
Australia,Glenn Maxwell,2,1,1,0,0,200.00,null,4705
South Africa,Quinton de Kock,3,14,27,0,0,21.42,c Cummins b Hazlewood,4704
South Africa,Temba Bavuma,0,4,5,0,0,0.00,c †Inglis b Starc,4704
South Africa,Rassie van der Dussen,6,31,53,0,0,19.35,c Smith b Hazlewood,4704
South Africa,Aiden Markram,10,20,24,2,0,50.00,c Warner b Starc,4704
South Africa,Heinrich Klaasen,47,48,76,4,2,97.91, b Head,4704
South Africa,David Miller,101,116,138,8,5,87.06,c Head b Cummins,4704
South Africa,Marco Jansen,0,1,1,0,0,0.00,lbw b Head,4704
South Africa,Gerald Coetzee,19,39,42,2,0,48.71,c †Inglis b Cummins,4704
South Africa,Keshav Maharaj,4,8,13,0,0,50.00,c Smith b Starc,4704
South Africa,Kagiso Rabada,10,12,18,0,1,83.33,c Maxwell b Cummins,4704
South Africa,Tabraiz Shamsi,1,5,11,0,0,20.00,null,4704
Australia,Travis Head,62,48,62,9,2,129.16, b Maharaj,4704
Australia,David Warner,29,18,29,1,4,161.11, b Markram,4704
Australia,Mitchell Marsh,0,6,5,0,0,0.00,c van der Dussen b Rabada,4704
Australia,Steven Smith,30,62,102,2,0,48.38,c †de Kock b Coetzee,4704
Australia,Marnus Labuschagne,18,31,28,2,0,58.06,lbw b Shamsi,4704
Australia,Glenn Maxwell,1,5,8,0,0,20.00, b Shamsi,4704
Australia,Josh Inglis,28,49,66,3,0,57.14, b Coetzee,4704
Australia,Mitchell Starc,16,38,61,2,0,42.10,null,4704
Australia,Pat Cummins,14,29,32,2,0,48.27,null,4704
India,Rohit Sharma,47,29,40,4,4,162.06,c Williamson b Southee,4703
India,Shubman Gill,80,66,116,8,3,121.21,null,4703
India,Virat Kohli,117,113,149,9,2,103.53,c Conway b Southee,4703
India,Shreyas Iyer,105,70,114,4,8,150.00,c Mitchell b Boult,4703
India,KL Rahul,39,20,29,5,2,195.00,null,4703
India,Suryakumar Yadav,1,2,2,0,0,50.00,c Phillips b Southee,4703
New Zealand,Devon Conway,13,15,26,3,0,86.66,c †Rahul b Mohammed Shami,4703
New Zealand,Rachin Ravindra,13,22,39,3,0,59.09,c †Rahul b Mohammed Shami,4703
New Zealand,Kane Williamson,69,73,116,8,1,94.52,c Yadav b Mohammed Shami,4703
New Zealand,Daryl Mitchell,134,119,180,9,7,112.60,c Jadeja b Mohammed Shami,4703
New Zealand,Tom Latham,0,2,1,0,0,0.00,lbw b Mohammed Shami,4703
New Zealand,Glenn Phillips,41,33,58,4,2,124.24,c Jadeja b Bumrah,4703
New Zealand,Mark Chapman,2,5,5,0,0,40.00,c Jadeja b Kuldeep Yadav,4703
New Zealand,Mitchell Santner,9,10,20,0,0,90.00,c Sharma b Mohammed Siraj,4703
New Zealand,Tim Southee,9,10,14,1,0,90.00,c †Rahul b Mohammed Shami,4703
New Zealand,Trent Boult,2,2,5,0,0,100.00,null,4703
