Player,Country,Role,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
Sean Abbott,Australia,Bowling Allrounder,2023-2023,1,1,60,-,61,2,2/61,30.50,6.10,30.0,-,-,1,-
Abdullah Shafique,Pakistan,Top order Batter,2023-2023,8,-,0,-,-,-,-,-,-,-,-,-,2,-
Colin Ackermann,Netherlands,Batting Allrounder,2023-2023,9,9,284,2,234,5,2/39,46.80,4.94,56.8,-,-,3,-
Agha Salman,Pakistan,Allrounder,2023-2023,3,2,30,-,46,-,-,-,9.20,-,-,-,3,-
Moeen Ali,England,Batting Allrounder,2023-2023,6,6,256,-,248,5,3/42,49.60,5.81,51.2,-,-,4,-
Charith Asalanka,Sri Lanka,Batting Allrounder,2023-2023,9,1,6,-,10,-,-,-,10.00,-,-,-,4,-
Ravichandran Ashwin,India,Bowling Allrounder,2023-2023,1,1,60,1,34,1,1/34,34.00,3.40,60.0,-,-,-,-
Gus Atkinson,England,Bowler,2023-2023,3,3,144,-,146,4,2/45,36.50,6.08,36.0,-,-,-,-
Azmatullah Omarzai,Afghanistan,Allrounder,2023-2023,9,9,228,1,270,7,2/52,38.57,7.10,32.5,-,-,1,-
Babar Azam,Pakistan,Batter,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,4,-
Jonny Bairstow,England,Wicketkeeper Batter,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,5,-
Wesley Barresi,Netherlands,Batter,2023-2023,4,-,0,-,-,-,-,-,-,-,-,-,1,-
Temba Bavuma,South Africa,Middle order Batter,2023-2023,8,-,0,-,-,-,-,-,-,-,-,-,3,-
Trent Boult,New Zealand,Bowler,2023-2023,10,10,546,6,504,14,3/37,36.00,5.53,39.0,-,-,4,-
Harry Brook,England,Batter,2023-2023,6,-,0,-,-,-,-,-,-,-,-,-,-,-
Jasprit Bumrah,India,Bowler,2023-2023,11,11,551,9,373,20,4/39,18.65,4.06,27.5,-,-,1,-
Jos Buttler,England,Wicketkeeper Batter,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,9,2
Alex Carey,Australia,Wicketkeeper Batter,2023-2023,1,-,0,-,-,-,-,-,-,-,-,-,-,-
Dushmantha Chameera,Sri Lanka,Bowler,2023-2023,4,4,188,3,196,2,1/20,98.00,6.25,94.0,-,-,-,-
Mark Chapman,New Zealand,Allrounder,2023-2023,8,-,0,-,-,-,-,-,-,-,-,-,1,-
Gerald Coetzee,South Africa,Bowler,2023-2023,8,8,381,1,396,20,4/44,19.80,6.23,19.0,-,-,3,-
Devon Conway,New Zealand,Wicketkeeper Batter,2023-2023,10,-,0,-,-,-,-,-,-,-,-,-,6,-
Pat Cummins,Australia,Bowler,2023-2023,11,11,537,1,515,15,3/51,34.33,5.75,35.8,-,-,4,-
Sam Curran,England,Allrounder,2023-2023,3,3,104,2,140,2,1/47,70.00,8.07,52.0,-,-,1,-
Quinton de Kock,South Africa,Wicketkeeper Batter,2023-2023,10,-,0,-,-,-,-,-,-,-,-,-,19,1
Bas de Leede,Netherlands,Batting Allrounder,2023-2023,9,8,402,-,487,16,4/62,30.43,7.26,25.1,-,-,5,-
Dhananjaya de Silva,Sri Lanka,Allrounder,2023-2023,8,8,150,-,174,-,-,-,6.96,-,-,-,4,-
Aryan Dutt,Netherlands,Bowler,2023-2023,9,9,465,6,426,10,3/44,42.60,5.49,46.5,-,-,5,-
Scott Edwards,Netherlands,Wicketkeeper Batter,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,13,2
Sybrand Engelbrecht,Netherlands,Allrounder,2023-2023,8,-,0,-,-,-,-,-,-,-,-,-,6,-
Fakhar Zaman,Pakistan,Opening Batter,2023-2023,4,-,0,-,-,-,-,-,-,-,-,-,3,-
Fazalhaq Farooqi,Afghanistan,Bowler,2023-2023,6,6,240,2,228,6,4/34,38.00,5.70,40.0,-,-,1,-
Lockie Ferguson,New Zealand,Bowler,2023-2023,7,7,324,3,301,10,3/19,30.10,5.57,32.4,-,-,-,-
Cameron Green,Australia,Batting Allrounder,2023-2023,3,1,12,-,11,-,-,-,5.50,-,-,-,2,-
Haris Rauf,Pakistan,Bowler,2023-2023,9,9,474,1,533,16,3/43,33.31,6.74,29.6,-,-,1,-
Hasan Ali,Pakistan,Bowler,2023-2023,6,6,306,2,321,9,4/71,35.66,6.29,34.0,-,-,-,-
Hasan Mahmud,Bangladesh,Bowler,2023-2023,2,2,84,-,132,3,2/67,44.00,9.42,28.0,-,-,-,-
Hashmatullah Shahidi,Afghanistan,Top order Batter,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,-,-
Josh Hazlewood,Australia,Bowler,2023-2023,11,11,559,8,449,16,3/38,28.06,4.81,34.9,-,-,4,-
Travis Head,Australia,Middle order Batter,2023-2023,6,5,126,-,101,2,2/21,50.50,4.80,63.0,-,-,3,-
Dushan Hemantha,Sri Lanka,Allrounder,2023-2023,2,2,96,-,94,-,-,-,5.87,-,-,-,1,-
Reeza Hendricks,South Africa,Opening Batter,2023-2023,2,-,0,-,-,-,-,-,-,-,-,-,1,-
Matt Henry,New Zealand,Bowler,2023-2023,7,7,326,3,315,11,3/40,28.63,5.79,29.6,-,-,5,-
Ibrahim Zadran,Afghanistan,Opening Batter,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,5,-
