Team 1,Team 2,Winner,Margin,Ground,Match Date,id,Scorecard
India,Australia,Australia,6 wickets,Ahmedabad,"Nov 19, 2023",4705,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/india-vs-australia-final-1384439/full-scorecard
Australia,South Africa,Australia,3 wickets,Eden Gardens,"Nov 16, 2023",4704,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/australia-vs-south-africa-2nd-semi-final-1384438/full-scorecard
India,New Zealand,India,70 runs,Wankhede,"Nov 15, 2023",4703,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/india-vs-new-zealand-1st-semi-final-1384437/full-scorecard
India,Netherlands,India,160 runs,Bengaluru,"Nov 12, 2023",4702,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/india-vs-netherlands-45th-match-1384436/full-scorecard
England,Pakistan,England,93 runs,Eden Gardens,"Nov 11, 2023",4701,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/england-vs-pakistan-44th-match-1384435/full-scorecard
Australia,Bangladesh,Australia,8 wickets,Pune,"Nov 11, 2023",4700,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/australia-vs-bangladesh-43rd-match-1384434/full-scorecard
Afghanistan,South Africa,South Africa,5 wickets,Ahmedabad,"Nov 10, 2023",4699,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-south-africa-42nd-match-1384433/full-scorecard
New Zealand,Sri Lanka,New Zealand,5 wickets,Bengaluru,"Nov 9, 2023",4698,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/new-zealand-vs-sri-lanka-41st-match-1384432/full-scorecard
England,Netherlands,England,160 runs,Pune,"Nov 8, 2023",4697,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/england-vs-netherlands-40th-match-1384431/full-scorecard
Afghanistan,Australia,Australia,3 wickets,Wankhede,"Nov 7, 2023",4696,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-australia-39th-match-1384430/full-scorecard
Bangladesh,Sri Lanka,Bangladesh,3 wickets,Delhi,"Nov 6, 2023",4695,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/bangladesh-vs-sri-lanka-38th-match-1384429/full-scorecard
India,South Africa,India,243 runs,Eden Gardens,"Nov 5, 2023",4694,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/india-vs-south-africa-37th-match-1384428/full-scorecard
Australia,England,Australia,33 runs,Ahmedabad,"Nov 4, 2023",4693,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/australia-vs-england-36th-match-1384427/full-scorecard
New Zealand,Pakistan,Pakistan,21 runs,Bengaluru,"Nov 4, 2023",4692,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/new-zealand-vs-pakistan-35th-match-1384426/full-scorecard
Afghanistan,Netherlands,Afghanistan,7 wickets,Lucknow,"Nov 3, 2023",4691,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-netherlands-34th-match-1384425/full-scorecard
India,Sri Lanka,India,302 runs,Wankhede,"Nov 2, 2023",4690,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/india-vs-sri-lanka-33rd-match-1384424/full-scorecard
